Official_name,Old_name,SKY,NGVS_ra,NGVS_dec,x_g_gal,y_g_gal,Nuc_Flag,Index,Size,AxisRatio,PA,principleg_mag_cg
NGVSJ12:11:02.73+12:06:14.4,NGVS182.76141+12.103989_VCC32,0.44799999999999995,182.76137240000003,12.103991800000001,-100.0,-100.0,1,1,29.36363730201109,0.8371,75.88,13.953
NGVSJ12:11:07.76+14:16:29.3,NGVS182.78237+14.274798_VCC33,0.213,182.7823394,14.274800599999999,-100.0,-100.0,1,2,48.37967877719492,0.8807,22.55,14.92
NGVSJ12:12:15.08+12:29:16.8,NGVS183.0629+12.487976_VCC48,0.18,183.0628294,12.487994300000002,-100.0,-100.0,1,3,129.13903833073093,0.49229997,-5.2,14.433
NGVSJ12:12:32.33+12:07:25.7,NGVS183.13468+12.123802_VCC58,0.026000000000000002,183.13469550000002,12.1237936,-100.0,-100.0,1,4,151.2299501959653,0.51409996,21.97,13.025
NGVSJ12:12:46.33+10:51:54.9,NGVS183.19402+10.866624_VCC66,1.5,183.1930488,10.865259,-100.0,-100.0,1,5,236.10695415639626,0.2605,29.55,11.847000000000001
NGVSJ12:13:47.23+13:25:29.5,NGVS183.44682+13.424852_VCC89,0.17,183.4468041,13.4248641,-100.0,-100.0,1,6,168.82887243587064,0.5147,-81.71,12.084000000000001
NGVSJ12:13:48.22+14:54:01.5,NGVS183.45123+14.900506_VCC92,0.691,183.4509022,14.900419699999999,-100.0,-100.0,1,7,298.13903155811334,0.4931,-26.39,10.469000000000001
NGVSJ12:13:53.58+13:10:22.1,NGVS183.47331+13.172835_VCC97,0.201,183.4732645,13.1728149,-100.0,-100.0,1,8,107.24064628070688,0.54330003,-83.65,12.657
NGVSJ12:15:12.56+14:25:58.4,NGVS183.80238+14.432859_VCC140,0.27399999999999997,183.8023507,14.4328799,-100.0,-100.0,1,9,49.272725926363535,0.7312,1.98,13.974
NGVSJ12:15:16.34+13:28:26.4,NGVS183.81797+13.474148_VCC143,0.114,183.8181007,13.474001999999999,-100.0,-100.0,1,10,43.47593644086052,0.27960002,-44.2,15.379000000000001
NGVSJ12:15:16.77+13:01:26.5,NGVS183.82008+13.023997_VCC145,0.364,183.8198729,13.0240215,-100.0,-100.0,1,11,154.1711225866634,0.3667,-0.03,12.620999999999999
NGVSJ12:15:39.37+13:54:06.1,NGVS183.9139+13.901505_VCC157,0.2,183.9140605,13.9016895,-100.0,-100.0,1,12,157.71123304724057,0.6588,62.39,11.470999999999998
NGVSJ12:15:54.30+13:08:58.6,NGVS183.97661+13.149457_VCC167,0.45,183.9762303,13.1496159,-100.0,-100.0,1,13,200.92514364477142,0.42610002,20.35,10.39
NGVSJ12:15:56.32+14:25:59.1,NGVS183.98478+14.433163_VCC170,0.156,183.98467390000002,14.4330723,-100.0,-100.0,1,14,151.6738014425186,0.6476,-4.5,14.056
NGVSJ12:16:22.59+13:18:25.7,NGVS184.0935+13.306441_VCC187,0.5720000000000001,184.094107,13.307151300000001,-100.0,-100.0,1,15,98.93582593948445,0.18059999,58.44,13.530999999999999
NGVSJ12:16:33.71+13:01:53.7,NGVS184.14047+13.031597_VCC200,0.184,184.14044769999998,13.031597,-100.0,-100.0,1,16,69.11764807879607,0.8707,-9.97,14.616
NGVSJ12:16:33.81+07:27:43.0,NGVS184.14078+7.4620674_VCC199,0.7809999999999999,184.1408623,7.4619461,-100.0,-100.0,1,17,125.29411927901488,0.5482,55.29,12.157
NGVSJ12:17:07.68+07:37:27.4,NGVS184.28201+7.6242759_VCC220,0.4,184.2820134,7.6242744999999985,-100.0,-100.0,1,18,65.82887924928716,0.7881,2.05,12.392999999999999
NGVSJ12:17:09.91+07:11:29.3,NGVS184.29118+7.1915747_VCC222,0.767,184.29127769999997,7.191464,-100.0,-100.0,1,19,111.95722365761824,0.56340003,53.23,12.005999999999998
